,,ivol_lag,return
20149,1,0.055190239,0.061971478
20149,2,0.06894852,0.101534583
20149,3,0.087470871,0.107015913
20149,4,0.133494391,0.224187375
201410,0,0.041138794,-0.021505818
201410,1,0.05545092,-0.022722739
201410,2,0.069346446,-0.005498273
201410,3,0.085063279,0.050689
201410,4,0.125444395,0.083025696
201411,0,0.050822127,0.019908864
201411,1,0.071778043,0.019073913
201411,2,0.085036142,0.034892522
201411,3,0.103602237,0.098257478
201411,4,0.146938641,0.193334652
201412,0,0.087132522,-0.050330652
201412,1,0.112918884,-0.062588478
201412,2,0.133902968,0.044883261
201412,3,0.162687237,0.107012478
201412,4,0.214857716,0.10238825
